s6,s37,2.38054897721e-10
s8,s9,2.27560879492e-10
s8,s13,4.21570899549e-10
s8,s14,6.96326707962e-07
s8,s35,2.01503305007e-08
s9,s14,1.05729868683e-07
s10,s11,3.69425162989e-09
s11,s23,3.84343900973e-10
s11,s24,2.17516766203e-06
s11,s60,9.40499789667e-10
s13,s34,6.68011544878e-06
s13,s35,4.07893902609e-06
s13,s71,3.33262359217e-11
s14,s17,2.22496271694e-10
s14,s40,4.31454674409e-10
s15,s27,1.70132468065e-10
s15,s36,3.19741949204e-11
s15,s43,3.06791797999e-11
s17,s38,6.12664624091e-10
s17,s61,1.4813063489e-08
s18,s23,2.49055740398e-10
s19,s45,5.45149863134e-07
s19,s53,4.58860534562e-07
s19,s55,2.16696699929e-09
s19,s56,3.00522711379e-11
s19,s72,1.98882303934e-10
s20,s33,0.000232504665763
s20,s47,4.41581184897e-10
s20,s48,2.01029492959e-09
s21,s39,1.96075221187e-09
s21,s41,1.40264790771e-07
s21,s67,1.96075221187e-09
s22,s31,5.07799435136e-10
s23,s24,4.0200501514e-08
s23,s51,7.76536892342e-10
s23,s74,2.88381428932e-11
s24,s60,8.44529104664e-11
s25,s46,5.65457292113e-06
s25,s73,2.07858686384e-11
s30,s42,8.61802213102e-07
s33,s47,3.38187816473e-07
s33,s48,8.00884139328e-08
s33,s69,6.73379479969e-10
s34,s35,7.21354152697e-07
s34,s68,2.01029492959e-09
s34,s71,6.39363889112e-09
s35,s71,2.27849946021e-09
s35,s76,6.6704478074e-11
s36,s43,0.000296329542212
s36,s80,1.2275021206e-09
s37,s55,3.37376796364e-08
s38,s61,7.23033774953e-10
s38,s63,2.59177964884e-07
s38,s75,5.75230058159e-09
s38,s91,3.4024454958e-11
s39,s41,8.61802213102e-07
s39,s57,2.71877908473e-09
s39,s58,5.3211765019e-10
s39,s67,9.40499789667e-10
s41,s54,2.67874848043e-07
s41,s58,1.06972576658e-05
s41,s67,1.56851749763e-09
s43,s49,1.14431321569e-10
s43,s80,7.53426495906e-08
s44,s45,3.13197181185e-11
s44,s56,1.05729868683e-07
s44,s57,2.49758631491e-11
s44,s85,1.0945879205e-08
s44,s100,1.91651927738e-11
s45,s53,4.31911207895e-05
s45,s55,5.57657716717e-10
s45,s56,1.06972576658e-05
s45,s72,7.19605853763e-05
s45,s79,1.94482335898e-10
s46,s73,5.98400662832e-10
s47,s48,0.000123409804087
s47,s58,1.87809497604e-11
s47,s69,5.02000298517e-05
s47,s82,1.59812366806e-11
s48,s69,2.60239336702e-08
s48,s82,1.00876630539e-08
s51,s73,1.94482335898e-10
s51,s74,4.99758573204e-06
s51,s81,4.46239424091e-11
s53,s55,4.99758573204e-06
s53,s56,1.60770726593e-09
s53,s72,2.96711024182e-06
s53,s79,8.57705158164e-09
s54,s58,1.33369502531e-05
s54,s69,1.1979685566e-09
s55,s72,4.73480421047e-10
s55,s79,1.3589432153e-07
s56,s72,8.31528719104e-07
s56,s85,3.60039564828e-09
s56,s100,1.81966795011e-09
s57,s87,4.11923779472e-10
s58,s69,1.29017596928e-08
s58,s94,2.91932530555e-10
s59,s70,0.000689109833748
s60,s95,1.03655678124e-08
s61,s75,4.19054053775e-11
s61,s92,5.73936595495e-08
s63,s75,1.05729868683e-07
s63,s91,5.26595942606e-07
s63,s93,2.22496271694e-10
s64,s70,3.19836525309e-10
s64,s90,1.93975973991e-06
s67,s97,3.57602748939e-08
s67,s102,2.43490394657e-10
s68,s71,5.60279643754e-09
s68,s101,8.57705158164e-09
s68,s109,2.20945909055e-11
s71,s105,2.9866092998e-10
s72,s79,4.94351641411e-08
s72,s100,2.25496551166e-11
s72,s107,2.60239336702e-08
s73,s74,2.49055740398e-10
s73,s81,0.00247875217667
s73,s96,6.73379479969e-10
s74,s81,1.49311479445e-09
s75,s91,4.31911207895e-05
s75,s92,2.44697502294e-11
s76,s105,8.96371062884e-10
s79,s107,9.86910900788e-10
s80,s86,3.93589743832e-11
s80,s99,2.92302475771e-05
s81,s96,1.55686058595e-10
s85,s87,1.00876630539e-08
s85,s100,0.000123409804087
s86,s99,1.11375557885e-09
s91,s93,1.22192380843e-10
s93,s103,1.6101418795e-08
s97,s102,0.00131588007229
s98,s106,8.61802213102e-07
s99,s104,1.60770726593e-09
s100,s107,1.00413057089e-10
s105,s112,4.36979081343e-11
s108,s109,5.89388857414e-06
s108,s112,0.000116760569071
s109,s112,1.56593014351e-08
