s1,14,554,592
s2,49,470,388
s3,53,200,253
s4,59,224,179
s5,60,232,124
s6,61,201,317
s7,61,466,159
s8,67,239,316
s9,67,242,294
s10,69,185,421
s11,69,189,440
s12,69,426,76
s13,70,243,337
s14,71,231,305
s15,71,236,220
s16,71,244,163
s17,72,213,292
s18,73,165,459
s19,73,186,341
s20,73,230,445
s21,73,244,391
s22,73,452,242
s23,74,187,461
s24,74,198,448
s25,74,205,498
s26,75,225,471
s27,76,220,235
s28,76,446,148
s29,77,217,203
s30,77,244,86
s31,77,431,241
s32,77,452,425
s33,78,233,439
s34,79,238,343
s35,79,240,329
s36,79,258,214
s37,80,190,314
s38,80,208,273
s39,80,227,399
s40,81,217,318
s41,81,240,404
s42,82,243,73
s43,83,257,221
s44,84,196,371
s45,85,186,349
s46,85,210,498
s47,85,246,437
s48,85,246,446
s49,85,251,243
s50,85,473,352
s51,86,197,475
s52,86,284,91
s53,87,182,340
s54,87,252,411
s55,88,184,328
s56,88,185,360
s57,88,212,389
s58,88,241,413
s59,88,262,186
s60,89,185,436
s61,89,207,292
s62,89,424,200
s63,91,211,263
s64,91,235,181
s65,91,239,520
s66,91,245,284
s67,92,239,387
s68,92,244,357
s69,92,246,430
s70,92,256,187
s71,93,250,339
s72,94,189,348
s73,94,191,495
s74,95,189,473
s75,96,198,271
s76,96,238,313
s77,96,284,61
s78,96,451,390
s79,97,196,333
s80,97,249,218
s81,98,187,493
s82,98,253,457
s83,99,232,474
s84,99,264,129
s85,100,188,375
s86,100,227,227
s87,101,195,392
s88,101,246,154
s89,101,463,306
s90,102,229,177
s91,103,204,267
s92,104,200,294
s93,104,226,273
s94,104,226,412
s95,105,186,445
s96,105,197,512
s97,105,229,382
s98,105,242,102
s99,105,243,215
s100,106,185,369
s101,106,251,367
s102,107,227,376
s103,107,238,260
s104,109,228,202
s105,109,250,324
s106,110,253,95
s107,111,193,348
s108,112,225,339
s109,112,233,348
s110,112,553,608
s111,114,264,229
s112,115,228,331
